School Code,School Name,School Type,Number of KDM Meetings
1933,"Anand Niketan, Shilaj Campus",Key Account,1
3033,Bluebells School International,New School,6
3139,Vasant Valley School,Retention School,4
6019,"Padma Seshadri Bala Bhavan Senior Secondary School, T. Nagar",Retention School,2
6334,Jamnabai Narsee School,Retention School,1
8625,Tripada English School,1-year School,1
9582,Akshar,Retention School,1
10251,Sri Aurobindo International School,Retention School,1
10423,Shri Shikshayatan School,Retention School,1
18460,Abhinav Bharati High School,Retention School,2
19282,Sri Kumaran Children's Home - Tata Silk Farm,Retention School,1
20191,Sishya School,Retention School,1
24374,Jeevana school,Retention School,1
28275,The Doon School,Retention School,1
28968,Uttam School For Girls,Retention School,1
34736,Akshara Matriculation Higher Secondary School,Retention School,1
42625,"St. Kabir Public School, Chandigarh",Retention School,1
47745,St. George^s School,Retention School,1
60573,"The Heritage School, Rohini",Retention School,1
64811,Mother'S Public School- Unit 1,Unknown,1
96888,J.B. Petit High School,New School,3
100940,Sharda Vidhya Mandir,Unknown,2
159527,"St. Mary's School (ICSE), Mazagaon",Retention School,14
168210,Vivekananda Mission School,Retention School,4
175250,The TVS School,Retention School,1
181976,St. Paul's Academy,Retention School,3
199955,Rose Manor International School,Unknown,1
201355,East Point School,New School,2
202033,Vivekananda Educational Centre,1-year School,1
210666,Lakshmi School,Retention School,1
236318,Mayo College,Retention School,3
252071,"Cambridge School, K R Puram",Retention School,2
253271,Mount St. Mary's School,New School,9
258293,Sri Sankara Senior Secondary School,Retention School,1
260718,Mahatma Gandhi International School,Unknown,1
282495,Genius English Medium School,1-year School,2
308823,Doon Public School,Retention School,4
343881,"Bhavan Vidyalaya, Panchkula",Retention School,2
346484,Tashi Namgyal Academy,Retention School,1
347614,Chanderbala Modi Academy,1-year School,1
351831,Yuvabharathi Public School,1-year School,1
354838,St. Xavier's Higher Secondary School,1-year School,3
363995,The Khaitan School - Noida,Unknown,1
381519,Bhavan's Gangabux Kanoria Vidyamandir,Retention School,2
384445,Campion School,Retention School,7
391739,Pragyan School,Retention School,1
393696,Little Flower Higher Secondary School,Retention School,2
395397,Khaitan Public School,1-year School,1
395483,DLF Public School,Retention School,3
399475,"St. Francis De Sales Hr. Secondary School, Narengi",Retention School,5
401650,Pramila Memorial Advanced School,Retention School,1
420525,Greenwood High (An International School),Retention School,1
452934,Vimala Convent School,New School,1
504488,"Billabong High International School, Bhopal",Retention School,2
507090,Seth Anandram Jaipuria School,Retention School,2
507154,Gurukul The School,1-year School,1
516721,Fravashi International Academy,New School,2
519329,Delhi Public School Lava,1-year School,1
522044,Vidya Valley School,Retention School,1
529319,Saupin^s School,Retention School,1
530653,Dr. Kalmadi Shamarao High School (Secondary Section),Retention School,1
532393,St. Vivekanand Millennium School,Retention School,1
541153,Dikshant International School,New School,1
548699,Don Bosco Senior Secondary School,Unknown,1
549920,Cambridge School_Noida,Retention School,1
559045,"The Shri Ram School, Moulsari",Retention School,1
562911,"JM International School, Dwarka",Retention School,2
563485,Odm Public School,Unknown,1
579462,Wisdom High International School (GOC),1-year School,2
581062,Saupin's School,Retention School,1
598546,Fernwood School,Retention School,3
621568,Our Lady Of The Snows High School,New School,1
628551,St. Michael's School For Girls,Retention School,1
650967,Deens Academy -Whitefield,Retention School,1
770229,Sanghamitra School,Retention School,5
950643,Kalka Public School,New School,2
971627,Little Angels High School,Retention School,3
999141,Holy Angels School,1-year School,1
1002463,"Cambridge School, New Friends Colony",Retention School,2
1011788,Vivekanand School,New School,2
1021816,The Doon Girls' School,Retention School,2
1035545,Doon Valley Public School,New School,5
1035646,Shree BAK Swadhyay Bhavan School,New School,3
1053677,National Public School,Unknown,1
1159934,Vivekanand School,Unknown,1
1163014,Vidya Devi Jindal School,Retention School,1
1204891,"B.K Birla Public School, Kalyan",Retention School,2
1324480,The Century School,1-year School,4
1424516,"JSS Public School, HSR Layout",Retention School,3
1482482,Pathania Public School,Retention School,1
1498877,St. Marys High School,Unknown,1
1512812,Kamla Nehru Higher Secondary School,New School,5
1524162,SAI International School,Retention School,3
1551815,The Shishukunj International School,Retention School,1
1708084,Shiv Puri Public School,Unknown,1
1719827,"Sagar Public School,Gandhi Nagar",Unknown,1
1722766,Harvest Public School,Retention School,2
1802750,St. Georges School,Unknown,2
1822220,Kasiga School,1-year School,1
1823562,Roopnagar Public School,Retention School,2
1837151,Shri Rama Bharti Public School - Sainik Nagar,Retention School,3
2009619,Happy Days School,Retention School,1
2037085,Satya Prakash Public School,New School,4
2066385,Sanghamitra High School,Retention School,3
2378636,"Delhi Public School, N T P C, Farakka",New School,1
2379270,"KLE School, Nagarbhavi, Bengaluru",Retention School,1
2385289,South City International School,Retention School,1
2401378,"Mount Carmel School, Baghmugalia",Unknown,2
2439093,MSB Educational Institute,Unknown,1
2450639,Shree Mumbadevi Vidya Mandir CISCE,New School,4
2457713,Prudence International School,Retention School,1
2459310,Sri Aham Aathma Vidyalaya,New School,1
2470921,Zydus School for Excellence - Godhavi,Retention School,1
2472480,Apple Global School,Retention School,2
2473458,Mahatma Montessori School CBSE,1-year School,1
2497679,Rabindra Vidya Niketan,Retention School,2
2501573,Step By Step School,Retention School,1
2508568,"La Montessori School, Kelheli",New School,1
2509576,Kaushalya World School,Retention School,1
2516584,Global Edge School,Retention School,2
2551930,Sage School,1-year School,2
2557342,Banyan Tree School,New School,2
2562124,Gopal's Garden High School,Retention School,3
2821214,Ramco Vidyalaya,Retention School,1
2844474,BVM Global @ Bengaluru,Retention School,1
3072629,Birla Vidya Niketan,Retention School,1
3078372,Blossom public school,New School,1
3152932,Aster Public School,1-year School,4
3155338,"Broadway Public School, Barnala",1-year School,1
3166222,Ies Public School,Unknown,1
3167641,"Mount Litera Zee School, Surat",1-year School,1
3168488,Shalom Presidency School,Unknown,1
3187497,Sir Mutha School,1-year School,2
3218539,St. Xavier’s High School- Keonjhar,New School,1
3242514,Erudite Academy,Retention School,1
3249655,Jamnabai Narsee School,Retention School,2
3253126,"Manav Rachna International School - Charmwood, Faridabad",New School,1
3270957,The Pentecostal Assembly School,Retention School,1
3283922,Gyanshree School,Retention School,2
3284326,The Kirk View School,Retention School,1
3285152,Paul George Global School,Retention School,2
3286324,Deens Academy - Gunjur,Retention School,1
3292556,The HDFC School,Retention School,1
3294066,Saandeepani Academy For Excellence,Retention School,2
3301477,The TonsBridge School,New School,2
3306257,Delhi Public School,1-year School,1
3308610,"SANSKRUTI – An English Medium School, Ashoknagar",Retention School,1
3316343,Scholars Academy,New School,1
3328193,The Ramakrishna Vivekananad Vidya Mandir,New School,1
3347997,MRS Educational Trust (Redbridge International Academy),Retention School,1
3368257,Discoveri Oaks School,Retention School,1
3386433,Takshashila International School,New School,2
3392733,Natwar Nagar Mumbai Public School,Unknown,3
3400783,G Rio School,Retention School,2
