ACAD,Quarter,School No,School Name,School Type,Offering,SSF Date,Orientation Status,Orientation Date,Meeting Id
Unknown,Apr-Jun,5151019,"Manav Rachna International School, Mohali",New School,Ei ASSET,2026-04-28T00:00:00.000,Pending,,
Unknown,Apr-Jun,3996676,Salipur Public School,New School,Ei CARES,2026-04-23T00:00:00.000,Pending,,
Unknown,Apr-Jun,5149560,Odisha Government School,New School,Ei Mindspark,2026-04-22T00:00:00.000,Pending,,
Unknown,Apr-Jun,5149720,"Dr. B.R. AMBEDKAR CM SHRI School, Kishanganj",New School,Ei ASSET,2026-04-22T00:00:00.000,Pending,,
Unknown,Apr-Jun,5149645,"Dr. B.R. AMBEDKAR CM SHRI School, Sector 18, Rohini",New School,Ei ASSET,2026-04-22T00:00:00.000,Pending,,
Unknown,Apr-Jun,5149433,"Dr. B.R. AMBEDKAR CM SHRI School, Kalkaji",New School,Ei ASSET,2026-04-22T00:00:00.000,Pending,,
Unknown,Apr-Jun,5147375,"Malik School, Kohat, Pakistan",New School,Ei ASSET,2026-04-20T00:00:00.000,Pending,,
Unknown,Apr-Jun,5112032,"Delhi Public School, Vikasnagar",New School,Ei ASSET,2026-04-18T00:00:00.000,Pending,,
Unknown,Apr-Jun,27561,The Home School,New School,Ei ASSET,2026-04-16T00:00:00.000,Pending,,
Unknown,Apr-Jun,5140478,Narula Public School,New School,Ei CARES,2026-04-16T00:00:00.000,Pending,,
Unknown,Apr-Jun,5146387,"KLE Smt. Malutai Shivaputra Shirakoli School, Sankeshwar",New School,Ei ASSET,2026-04-15T00:00:00.000,Pending,,
Unknown,Apr-Jun,5111427,"BAPS Swaminarayan Vidyamandir, Navsari",New School,Ei ASSET,2026-04-14T00:00:00.000,Pending,,
Unknown,Apr-Jun,2499678,Sadhbhavana World School,New School,Ei ASSET,2026-04-14T00:00:00.000,Pending,,
Unknown,Apr-Jun,912899,The Regency Public School,New School,Ei ASSET,2026-04-13T00:00:00.000,Pending,,
Unknown,Apr-Jun,5018522,Nalanda Vidyalaya,New School,Ei ASSET,2026-04-09T00:00:00.000,Pending,,
Unknown,Apr-Jun,5147512,Godrej Foundation,New School,Ei ASSET,2026-04-08T00:00:00.000,Pending,,
Unknown,Apr-Jun,5017986,Redwood International School,New School,Ei ASSET,2026-04-08T00:00:00.000,Pending,,
Unknown,Apr-Jun,1826430,"Devi Sushila Khedia DAV Public School,",New School,Ei Mindspark,2026-04-04T00:00:00.000,Pending,,
Unknown,Apr-Jun,3191158,"DAV Public School, Barrackpore",New School,Ei Mindspark,2026-04-04T00:00:00.000,Pending,,
Unknown,Apr-Jun,5138757,"DAV Model School, Sankarpur",New School,Ei Mindspark,2026-04-04T00:00:00.000,Pending,,
Unknown,Apr-Jun,2271943,"D A V Public School , Asansol",New School,Ei Mindspark,2026-04-04T00:00:00.000,Pending,,
Unknown,Apr-Jun,2271541,"D A V Model School ,Durgapur",New School,Ei Mindspark,2026-04-04T00:00:00.000,Pending,,
Unknown,Apr-Jun,5074740,"R.L.J.D.M.C. D.A.V. Public School, Raniganj",New School,Ei Mindspark,2026-04-04T00:00:00.000,Pending,,
Unknown,Apr-Jun,5139010,"DAV Public School, Dhadka",New School,Ei Mindspark,2026-04-04T00:00:00.000,Pending,,
Unknown,Apr-Jun,5138547,"DAV Public School, Haldia",New School,Ei Mindspark,2026-04-04T00:00:00.000,Pending,,
Unknown,Apr-Jun,5075344,"DAV Model School,KSTP, Asansol",New School,Ei Mindspark,2026-04-04T00:00:00.000,Pending,,
Unknown,Apr-Jun,5075423,MDB DAV Public School,New School,Ei Mindspark,2026-04-04T00:00:00.000,Pending,,
Unknown,Apr-Jun,5138020,"DAV Model School, IIT Kharagpur",New School,Ei Mindspark,2026-04-04T00:00:00.000,Pending,,
Unknown,Apr-Jun,320217,D A V Public School Midnapore,New School,Ei Mindspark,2026-04-04T00:00:00.000,Pending,,
Unknown,Apr-Jun,5146020,The Shri Ram Universal School - Pune,New School,Ei ASSET,2026-04-02T00:00:00.000,Pending,,
Unknown,Apr-Jun,5139974,Zebar School for Children - Noon Shift,New School,Ei ASSET,2026-04-02T00:00:00.000,Pending,,
Unknown,Apr-Jun,5145990,Campion International School,New School,Ei ASSET,2026-04-01T00:00:00.000,Pending,,
Unknown,Apr-Jun,5145990,Campion International School,New School,Ei Mindspark,2026-04-01T00:00:00.000,Pending,,
Unknown,Apr-Jun,5145990,Campion International School,New School,Ei CARES,2026-04-01T00:00:00.000,Pending,,
Unknown,Jan-Mar,5015074,"Shree Gattu Vidyalaya, CBSE",New School,Ei ASSET,2026-03-31T00:00:00.000,Pending,,
Unknown,Jan-Mar,3727222,"Baps Swaminarayan Vidyamandir,Adajan",New School,Ei ASSET,2026-03-31T00:00:00.000,Pending,,
Unknown,Jan-Mar,612644,Shri Swaminarayan Academy,New School,Ei ASSET,2026-03-31T00:00:00.000,Pending,,
Unknown,Jan-Mar,3091250,The Millennium School Surat,New School,Ei ASSET,2026-03-31T00:00:00.000,Pending,,
Unknown,Jan-Mar,5106830,The Mindcraft School,New School,Ei ASSET,2026-03-31T00:00:00.000,Pending,,
Unknown,Jan-Mar,5111791,The Radiant World School,New School,Ei ASSET,2026-03-31T00:00:00.000,Pending,,
Unknown,Jan-Mar,5145510,M.A.M Exel Public School,New School,Ei CARES,2026-03-30T00:00:00.000,Pending,,
Unknown,Jan-Mar,388277,Hariyana Vidyamandir,New School,Ei Mindspark,2026-03-30T00:00:00.000,Pending,,
Unknown,Jan-Mar,5145433,Akshara Vaagdevi International School,New School,Ei Mindspark,2026-03-30T00:00:00.000,Pending,,
Unknown,Jan-Mar,5039584,"Saraswati Vidhyamandir School, Jamnagar",New School,Ei ASSET,2026-03-28T00:00:00.000,Pending,,
Unknown,Jan-Mar,260054,Vrajbhoomi International School,New School,Ei ASSET,2026-03-27T00:00:00.000,Pending,,
Unknown,Jan-Mar,5137343,Wisdom School,New School,Ei ASSET,2026-03-27T00:00:00.000,Pending,,
Unknown,Jan-Mar,5144194,Vidya Bhawan Senior Secondary School Ramgiri,New School,Ei ASSET,2026-03-27T00:00:00.000,Pending,,
Unknown,Jan-Mar,5128949,Karnavati International School-CBSE,New School,Ei ASSET,2026-03-27T00:00:00.000,Pending,,
Unknown,Jan-Mar,1740931,Vidya Bhawan Public School,New School,Ei ASSET,2026-03-27T00:00:00.000,Pending,,
Unknown,Jan-Mar,3992038,Eklavya Global School,New School,Ei ASSET,2026-03-27T00:00:00.000,Pending,,
Unknown,Jan-Mar,5031698,New Life International School,New School,Ei ASSET,2026-03-27T00:00:00.000,Pending,,
Unknown,Jan-Mar,5142361,Lakshaya School,New School,Ei ASSET,2026-03-27T00:00:00.000,Pending,,
Unknown,Jan-Mar,5144029,Vidya Bhawan Senior Secondary School,New School,Ei ASSET,2026-03-27T00:00:00.000,Pending,,
Unknown,Jan-Mar,5144548,"Claremont International School, Ashta",New School,"Ei ASSET,Ei CARES",2026-03-25T00:00:00.000,Pending,,
Unknown,Jan-Mar,5110972,Vissanji Academy,New School,Ei ASSET,2026-03-25T00:00:00.000,Pending,,
Unknown,Jan-Mar,5139276,"Pallavi International School, Pocharam (CAIE)",New School,Ei Mindspark,2026-03-25T00:00:00.000,Pending,,
Unknown,Jan-Mar,5137966,"Pallavi International School, Pocharam",New School,Ei Mindspark,2026-03-25T00:00:00.000,Pending,,
Unknown,Jan-Mar,5060863,Vidya Bhawan Society,New School,Ei ASSET,2026-03-24T00:00:00.000,Pending,,
Unknown,Jan-Mar,2474591,"Krishna Public School, Dunda",New School,Ei Mindspark,2026-03-23T00:00:00.000,Pending,,
Unknown,Jan-Mar,5074421,The Vega School,New School,Ei ASSET,2026-03-21T00:00:00.000,Pending,,
Unknown,Jan-Mar,5137855,"BAPS Swaminarayan Vidyamandir,Valsad",New School,Ei ASSET,2026-03-19T00:00:00.000,Pending,,
Unknown,Jan-Mar,5142211,"St. Joseph's International School, Hisar",New School,Ei CARES,2026-03-19T00:00:00.000,Pending,,
Unknown,Jan-Mar,5142028,Edison G Agoram,New School,Ei Mindspark,2026-03-18T00:00:00.000,Pending,,
Unknown,Jan-Mar,5142028,Edison G Agoram,New School,Ei CARES,2026-03-18T00:00:00.000,Pending,,
Unknown,Jan-Mar,3339084,Nirmal Vidhyapeeth,New School,Ei CARES,2026-03-18T00:00:00.000,Pending,,
Unknown,Jan-Mar,199955,Rose Manor International School,New School,Ei Mindspark,2026-03-12T00:00:00.000,Pending,,
Unknown,Jan-Mar,5128331,East Point School,New School,Ei CARES,2026-03-11T00:00:00.000,Pending,,
Unknown,Jan-Mar,3206686,Kerala Public School,New School,Ei ASSET,2026-03-11T00:00:00.000,Pending,,
Unknown,Jan-Mar,1884049,Vidya Vihar Residential School,New School,Ei Mindspark,2026-03-11T00:00:00.000,Pending,,
Unknown,Jan-Mar,5116712,"K.E. Carmel School, Suri",New School,Ei CARES,2026-03-11T00:00:00.000,Pending,,
Unknown,Jan-Mar,199955,Rose Manor International School,New School,Ei CARES,2026-03-11T00:00:00.000,Pending,,
Unknown,Jan-Mar,5138364,"Pallavi International School, Bachupally",New School,Ei Mindspark,2026-03-10T00:00:00.000,Pending,,
Unknown,Jan-Mar,4054921,"Pallavi Internationl School, Keesara",New School,Ei Mindspark,2026-03-10T00:00:00.000,Pending,,
Unknown,Jan-Mar,5118624,Jain Public School JP Nagar,New School,Ei CARES,2026-03-10T00:00:00.000,Pending,,
Unknown,Jan-Mar,5136788,Ruh Continuum School,New School,Ei ASSET,2026-03-09T00:00:00.000,Pending,,
Unknown,Jan-Mar,5136172,Prayash Vidya Mandir - Jajpur,New School,Ei Mindspark,2026-03-09T00:00:00.000,Pending,,
Unknown,Jan-Mar,2401378,"Mount Carmel School, Baghmugalia",New School,Ei CARES,2026-03-08T00:00:00.000,Pending,,
Unknown,Jan-Mar,276791,Modern High school,New School,Ei Mindspark,2026-03-07T00:00:00.000,Pending,,
Unknown,Jan-Mar,3631447,"Krishna Public School, Tulssi",New School,Ei Mindspark,2026-03-07T00:00:00.000,Pending,,
Unknown,Jan-Mar,5137343,Wisdom School,New School,Ei Mindspark,2026-03-06T00:00:00.000,Pending,,
Unknown,Jan-Mar,454513,"The Orchid School, Pune",New School,Ei ASSET,2026-03-04T00:00:00.000,Pending,,
Unknown,Jan-Mar,3997196,Shastra School,New School,Ei CARES,2026-03-02T00:00:00.000,Pending,,
Unknown,Jan-Mar,3999434,The New Green Field Public Academy,New School,Ei CARES,2026-03-02T00:00:00.000,Pending,,
Unknown,Jan-Mar,5104349,Trinity Public School,New School,Ei Mindspark,2026-03-02T00:00:00.000,Pending,,
Unknown,Jan-Mar,3672833,The Academy School,New School,"Ei ASSET,Ei CARES,Ei Mindspark",2026-02-27T00:00:00.000,Pending,,
Unknown,Jan-Mar,5115455,St.Teresa's School Bolpur,New School,Ei CARES,2026-02-26T00:00:00.000,Pending,,
Unknown,Jan-Mar,3465547,PRG World School,New School,Ei ASSET,2026-02-25T00:00:00.000,Pending,,
Unknown,Jan-Mar,5136033,Montfort MHSS,New School,Ei Mindspark,2026-02-25T00:00:00.000,Pending,,
Unknown,Jan-Mar,1027451,Firayalal Public School,New School,Ei Mindspark,2026-02-21T00:00:00.000,Pending,,
Unknown,Jan-Mar,582924,Trivandrum International School,New School,Ei ASSET,2026-02-20T00:00:00.000,Pending,,
Unknown,Jan-Mar,3817615,"Angels Valley School, Rajpura",New School,"Ei CARES,Ei Mindspark",2026-02-17T00:00:00.000,Pending,,
Unknown,Jan-Mar,677287,St. Karen's Collegiate School,New School,Ei ASSET,2026-02-17T00:00:00.000,Pending,,
Unknown,Jan-Mar,1556044,St. Karen's Montessori School,New School,Ei ASSET,2026-02-17T00:00:00.000,Pending,,
Unknown,Jan-Mar,3998514,St. Karen's Secondary School,New School,Ei ASSET,2026-02-17T00:00:00.000,Pending,,
Unknown,Jan-Mar,55823,St. Karen's High School,New School,Ei ASSET,2026-02-17T00:00:00.000,Pending,,
Unknown,Jan-Mar,3221470,St. Karen's Primary School,New School,Ei ASSET,2026-02-17T00:00:00.000,Pending,,
Unknown,Jan-Mar,5133264,"St. Joseph’s International School, Sirsa",New School,Ei CARES,2026-02-14T00:00:00.000,Pending,,
Unknown,Jan-Mar,3166222,Ies Public School,New School,Ei Mindspark,2026-02-12T00:00:00.000,Pending,,
Unknown,Jan-Mar,5007603,Genesis international School,New School,Ei Mindspark,2026-02-11T00:00:00.000,Pending,,
Unknown,Jan-Mar,5106830,The Mindcraft School,New School,Ei Mindspark,2026-02-10T00:00:00.000,Pending,,
Unknown,Jan-Mar,3150853,Burdwan Model School,New School,Ei CARES,2026-02-10T00:00:00.000,Pending,,
Unknown,Jan-Mar,5129696,Vasantiben and Chandubhai Patel English School,New School,Ei CARES,2026-02-09T00:00:00.000,Pending,,
Chaitanya Kolluri,Jan-Mar,5018195,SNS Gurugram,New School,Ei ASSET,2026-02-05T00:00:00.000,Pending,,
Unknown,Jan-Mar,900959,lions calcutta greater vidya mandir school,New School,Ei CARES,2026-02-04T00:00:00.000,Pending,,
Unknown,Jan-Mar,5112032,"Delhi Public School, Vikasnagar",New School,Ei CARES,2026-02-04T00:00:00.000,Pending,,
Unknown,Jan-Mar,5112032,"Delhi Public School, Vikasnagar",New School,Ei Mindspark,2026-02-03T00:00:00.000,Pending,,
Unknown,Jan-Mar,3993835,"Kunskapsskolan, Lucknow",New School,Ei ASSET,2026-02-02T00:00:00.000,Pending,,
Unknown,Jan-Mar,2389077,Excel Public School,New School,Ei ASSET,2026-02-02T00:00:00.000,Pending,,
Unknown,Jan-Mar,5107387,"Brainz Edu World School, Meerut",New School,Ei Mindspark,2026-01-27T00:00:00.000,Pending,,
Unknown,Jan-Mar,3994403,Manav Rachna International School,New School,Ei ASSET,2026-01-19T00:00:00.000,Pending,,
Unknown,Jan-Mar,3492595,Manav Rachna International School,New School,Ei ASSET,2026-01-19T00:00:00.000,Pending,,
Unknown,Jan-Mar,3994404,Manav Rachna International School,New School,Ei ASSET,2026-01-19T00:00:00.000,Pending,,
